#{"t_start": 1536827479.22803, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-232.05922,215,2.781941
-108.915823,86,2.897818
-367.271831,100,3.036319
-336.546623,99,3.222547
-371.302937,253,3.869314
-337.164206,120,4.022892
-258.14754,154,5.18316
-219.659226,79,5.303739
-169.813106,55,5.401531
-241.579172,76,5.493539
-177.502621,63,5.565962
-188.697117,66,5.647348
-199.144417,81,5.739131
-184.155819,83,5.82732
-174.971109,80,5.920391
-179.142685,61,5.988442
-207.783369,86,6.080252
-182.928129,70,6.159111
-198.308338,84,6.296672
-86.360881,86,6.388048
-242.443385,77,6.936874
-207.446696,79,7.013552
-189.266719,84,7.098316
-175.028864,67,7.164151
-151.11951,79,7.243305
-204.082503,81,7.32666
-153.223405,59,7.387256
-228.662819,72,7.479725
-187.547535,80,7.563249
-131.27416,90,7.654143
-194.781377,65,7.724798
-128.340592,54,7.785327
-218.453758,70,7.858046
-196.500108,65,8.379902
-132.928825,87,8.476929
-173.541415,52,8.529727
-189.495259,56,8.581997
-94.721047,73,8.659727
-161.550501,53,8.717508
-204.138425,65,8.77869
-16.733321,126,8.905838
-163.940102,76,8.976286
-184.29401,55,9.028163
-196.652453,76,9.099296
-223.349218,73,9.167615
-181.763744,76,9.245398
-177.887614,89,9.331556
-168.890654,79,9.837495
-91.106081,93,9.947148
-29.30479,83,10.045476
-199.578999,69,10.116037
-272.839394,106,10.219537
-218.02311,89,10.306572
-171.628434,57,10.399176
-187.723039,60,10.490409
-186.383258,62,10.558795
-202.189836,83,10.639188
-175.873269,58,10.697841
-151.807325,56,10.76336
-191.396039,73,10.854648
-189.01833,66,11.376791
-157.58163,53,11.431264
-160.022059,72,11.504804
-162.509249,85,11.587707
-177.914892,89,11.680712
-191.481652,86,11.79249
-202.03399,63,11.874986
-99.830928,59,11.940985
-161.888613,83,12.042317
-163.12181,68,12.119809
-189.639462,60,12.187422
-166.352048,84,12.329629
-173.303838,67,12.430003
-143.002772,55,12.508495
-187.302167,74,13.017332
-245.733681,51,13.074596
-221.895433,66,13.151123
-214.301636,78,13.247549
-230.015099,91,13.357508
-214.555234,68,13.433805
-220.368418,69,13.505315
-243.427127,85,13.59078
-337.800397,68,13.672913
-208.414457,60,13.747184
-216.680515,63,13.817885
-306.390758,64,13.894146
-418.336541,74,13.989027
-258.334855,63,14.068607
-267.558001,65,14.146214
-180.798674,89,14.710168
-202.967408,60,14.791286
-179.451303,65,14.867087
-188.824355,89,14.957854
-159.315437,59,15.019434
-177.494404,57,15.081539
-167.843106,81,15.187639
-252.956039,52,15.263598
-220.240307,70,15.348032
-370.895434,65,15.42439
-331.758715,60,15.500072
-311.813041,61,15.584375
-191.508036,57,15.655498
-353.115344,61,15.732789
-204.00283,64,15.807805
-156.677116,56,16.337718
-425.080934,102,16.46747
-396.377985,60,16.53537
-140.211611,53,16.592539
-359.85034,86,16.682741
-203.345095,53,16.740172
-501.339204,83,16.835599
-204.219831,65,16.903132
-375.355021,58,16.967722
-182.443278,66,17.038662
-267.014273,82,17.131062
-366.404339,73,17.21879
-476.580723,71,17.308732
-162.481733,68,17.382517
-328.721915,52,17.44247
-210.588857,52,17.942995
-206.312431,57,18.002701
-176.066639,56,18.063341
-382.579927,65,18.134142
-206.497518,58,18.19739
-195.628969,70,18.324451
-498.803118,69,18.46678
-184.575054,82,18.559808
-139.226734,57,18.624967
-276.957019,76,18.710919
-533.520013,86,18.814046
-471.628006,66,18.896891
-176.996364,67,18.984285
-351.899646,53,19.06317
-195.988148,69,19.14776
-261.695098,51,19.626609
-219.842844,65,19.695062
-43.05051,76,19.780937
-218.779347,76,19.868227
-159.437399,59,19.936819
-194.06383,56,20.000544
-467.84648,68,20.082268
-201.676622,73,20.15972
-395.329389,59,20.227222
-153.100083,58,20.290726
-199.284018,81,20.390205
-314.333696,54,20.477797
-159.528058,62,20.557323
-227.54698,76,20.640082
-173.780802,58,20.700399
-198.441362,68,21.187931
-216.247084,87,21.330723
-349.915613,75,21.430149
-253.355337,60,21.499701
-176.000894,53,21.562983
-473.711257,82,21.652919
-217.512017,65,21.735366
-154.147045,57,21.811379
-439.661839,79,21.918431
-163.156186,72,21.998651
-252.536056,82,22.087542
-190.160859,78,22.179496
-329.965249,85,22.29519
-184.686976,69,22.393318
-250.797169,78,22.907614
-165.594122,52,22.960034
-177.585891,59,23.0203
-271.660472,53,23.074237
-260.272689,56,23.135246
-274.327841,82,23.244463
-297.07252,71,23.39219
-174.584114,54,23.469636
-215.770878,72,23.566023
-199.899605,76,23.65466
-277.389147,71,23.747075
-228.636988,80,23.879583
-214.219086,67,23.964419
-316.458069,61,24.03709
-247.138854,66,24.113852
-221.52604,52,24.625887
-97.33192,74,24.709203
-313.975126,90,24.826078
-222.822619,72,24.914406
-196.201603,55,24.969484
-190.501068,61,25.030908
-189.934595,86,25.121141
-251.634852,85,25.255838
-260.935114,61,25.359783
-266.015308,55,25.431538
-214.275103,74,25.516618
-190.125271,88,25.619144
-400.681585,115,25.783994
-143.836412,55,25.859249
-181.609419,67,26.419777
-216.020678,74,26.504973
-184.876701,52,26.558613
-291.537436,75,26.663706
-294.603063,56,26.726216
-191.038335,60,26.79822
-194.310882,77,26.890482
-184.351527,64,26.960347
-197.292444,71,27.04349
-163.268385,54,27.097867
-506.859408,80,27.184396
-123.44058,78,27.272671
-200.643871,87,27.37286
-282.05509,91,27.476621
-182.728439,77,27.974336
-157.830286,64,28.043087
-532.790865,82,28.135992
-201.830033,69,28.21838
-217.886803,78,28.342098
-157.106225,55,28.405837
-177.82756,57,28.47652
-163.288847,89,28.57376
-183.774225,62,28.645848
-179.530457,92,28.748063
-190.100583,68,28.826534
-273.280559,78,28.911315
-201.81739,67,28.987102
-174.358004,79,29.074406
-184.237269,71,29.569956
-145.664994,80,29.654751
-181.767182,61,29.720861
-325.933908,59,29.786222
-172.008952,68,29.861384
-157.694158,55,29.921949
-148.348794,59,29.984467
-200.839116,77,30.070082
-299.394046,81,30.158216
-143.171261,84,30.249159
-221.174212,67,30.322106
-144.459522,54,30.380703
-405.847154,66,30.464469
-191.404604,64,30.533947
-184.050104,81,31.044263
-158.865125,54,31.101568
-268.294856,92,31.205687
-282.115975,84,31.298644
-221.004969,83,31.390556
-225.281423,65,31.461608
-247.073984,90,31.561072
-398.781933,76,31.652273
-160.304966,54,31.711212
-364.694105,55,31.772687
-152.940347,61,31.836162
-167.181156,58,31.903357
-177.67082,52,32.001864
-106.17694,87,32.153368
-316.072705,51,32.23957
-199.178925,73,32.87071
-158.85769,71,32.986383
-353.216199,69,33.107745
-569.589136,72,33.237251
-711.589517,85,33.394539
-144.429903,58,33.478124
-482.838918,65,33.573994
-156.210912,62,33.666426
-537.442029,66,33.76567
-408.611864,59,33.849369
-467.708509,81,33.984635
-553.324269,73,34.097701
-155.34631,57,34.17975
-211.160673,73,34.318891
-422.489275,55,34.459244
-486.777619,86,35.204435
-600.533559,72,35.330998
-414.089279,80,35.466472
-643.530551,74,35.585858
-334.960521,79,35.691647
-478.291772,79,35.800293
-674.274029,79,35.930832
-240.589846,58,36.02711
-335.301132,70,36.134631
-300.150436,56,36.21987
-543.592903,73,36.366783
-756.925032,82,36.506768
-395.8715,54,36.592602
-701.310188,78,37.216008
-505.326351,62,37.311006
-713.865842,76,37.445189
-528.004923,60,37.538849
-675.570754,74,37.653251
-600.301665,70,37.753313
-526.192201,63,37.845126
-725.747192,76,37.978144
-511.675061,73,38.091501
-627.89447,70,38.199765
-468.609469,52,38.284926
-515.525655,58,38.371549
-596.051681,64,38.481317
-458.16019,52,38.563609
-457.811514,51,38.645072
-654.525579,72,38.756918
-563.852148,60,39.428557
-495.397141,69,39.533537
-634.208215,65,39.637492
-566.914971,63,39.736397
-603.701365,67,39.865554
-487.807033,59,39.982321
-449.277854,54,40.103878
-684.638098,74,40.266652
-909.10178,87,40.439038
-535.989777,70,40.57737
-618.41747,65,40.710383
-461.52728,58,40.826471
